Venue,City,Venue Count,Edit Venue,Edit City,Comments,,ct,st,ln st
Aarhus University,"Aarhus, DK",1,,,ok,,Aarhus,DK,2
Rubber Bowl,"Akron, OH",1,,,ok,,Akron,OH,2
Knickerbocker Arena,"Albany, NY",9,,,ok,,Albany,NY,2
Civic Auditorium,"Albuquerque, NM",1,,,,,Albuquerque,NM,2
University of New Mexico,"Albuquerque, NM",1,,,,,Albuquerque,NM,2
Concertgebouw,"Amsterdam, NL",1,,,ok,,Amsterdam,NL,2
Club Melk Weg,"Amsterdam, XH",3,,"Amsterdam, NL",e,,Amsterdam,XH,2
Anaheim Stadium,"Anaheim, CA",1,,,ok,,Anaheim,CA,2
West High Auditorium,"Anchorage, AK",3,,,ok,,Anchorage,AK,2
Calavaras County Fairgrounds,Angel,2,,,,,Angel,,0
Crisler Arena (U. Of Michigan),"Ann Arbor, MI",1,,,ok,,Ann Arbor,MI,2
Hill Auditorium,"Ann Arbor, MI",2,,,ok,,Ann Arbor,MI,2
Fox Theater,"Atlanta, GA",9,,,ok,,Atlanta,GA,2
Omni Coliseum,"Atlanta, GA",1,The Omni,,e,,Atlanta,GA,2
The Omni,"Atlanta, GA",17,,,ok,,Atlanta,GA,2
The Palace,"Auburn Hills, MI",4,,,ok,,Auburn Hills,MI,2
Augusta Civic Center,"Augusta, ME",2,,,ok,,Augusta,ME,2
Manor Downs,"Austin, TX",5,,,ok,,Austin,TX,2
Municipal Auditorium,"Austin, TX",2,,,ok,,Austin,TX,2
Bakersfield Civic Auditorium,"Bakersfield, CA",1,,,ok,,Bakersfield,CA,2
Baltimore Civic Center,"Baltimore, MD",3,,,ok,,Baltimore,MD,2
Civic Center,"Baltimore, MD",2,Baltimore Civic Center,,e,,Baltimore,MD,2
Sports Palace,"Barcelona, XP",1,,"Barcelona, ES",e,,Barcelona,XP,2
Assembly Center (Lousiana State U),"Baton Rouge, LA",1,,,ok,,Baton Rouge,LA,2
Berkeley Community Theater,"Berkeley, CA",16,,,ok,,Berkeley,CA,2
Berkeley Community Theatre,"Berkeley, CA",4,Berkeley Community Theater,,e,,Berkeley,CA,2
Berkeley Greek Theatre,"Berkeley, CA",3,Berkeley Community Theater,,e,,Berkeley,CA,2
Greek Theater (U of California),"Berkeley, CA",21,,,ok,,Berkeley,CA,2
The I.C.C.,"Berlin, DE",2,,,ok,,Berlin,DE,2
Max Yasgur's Farm,"Bethel, NY",1,,,ok,,Bethel,NY,2
Stabler Arena (Lehigh U),"Bethlehem, PA",1,,,ok,,Bethlehem,PA,2
Broome County Arena,"Binghamton, NY",2,,,ok,,Binghamton,NY,2
Harpur College,"Binghamton, NY",1,,,ok,,Binghamton,NY,2
