venue,city,count(*)
2,"Buckeye Lake, Hebron, OH",1
2,"Cal Expo, Sacramento, CA",3
2,"Capitol Centre, Landover, MD",2
2,"Charlotte Coliseum, Charlotte, NC",2
2,"Compton Terrace, Tempe, AZ",2
2,"Copps Coliseum, Hamilton, ON",2
2,"Deer Creek, Noblesville, IN",2
2,"Giants Stadium, East Rutherford, NJ",2
2,"Hampton Coliseum, Hampton, VA",2
2,"Knickerbocker Arena, Albany, NY",2
2,"McNichols Arena, Denver, CO",2
2,"Nassau Coliseum, Uniondale, NY",3
2,"Oakland Coliseum, Oakland, CA",7
2,"RFK Stadium, Washington, DC",1
2,"Rich Stadium, Orchard Park, NY",1
2,"Richfield Coliseum, Richfield, OH",2
2,"Sam Boyd Silver Bowl, Las Vegas, NV",3
2,"Shoreline Amphitheater, Mountain View, CA",3
2,Soldier,1
2,"Soldiers Field, Chicago, IL",1
2,"Star Lake Amphitheater, Burgettstown, PA",2
2,"The Omni, Atlanta, GA",3
2,"The Palace, Auburn Hills, MI",2
2,"The Spectrum, Philadelphia, PA",3
"Aarhus University","Aarhus, DK",1
"Academy of Music","New York, NY",7
"Adams Field House (U of Montana)","Missoula, MT",1
"Aladdin Theater","Las Vegas, NV",3
"Alameda County Coliseum","Oakland, CA",14
"Alameda County Stadium","Oakland, CA",1
"Alexandra Palace","London, XE",3
"Alfond Arena (U of Maine)","Orono, ME",1
"Allan Theater","Cleveland, OH",1
"Alligator Alley Gum (U of Florida)","Gainesville, FL",1
"Alpine Valley East","Troy, WI",4
"Alpine Valley Music Theater","East Troy, WI",13
"Alpine Valley Music Theatre","East Troy, WI",3
"American University","Washington, DC",1
"Anaheim Stadium","Anaheim, CA",1
"Arizona State University","Tempe, AZ",1
"Arlington Theater","Santa Barbara, CA",1
"Arrowhead Stadium","Kansas City, MO",1
"Assembly Center (Lousiana State U)","Baton Rouge, LA",1
"Assembly Hall (Indiana U)","Bloomington, IN",1
"Assembly Hall (U of Illinois)",Champaign,2
"Assembly Hall (University of Illinois)","Champlain, IL",1
"Athletic Center (Rutgers U)","New Brunswick, NJ",1
Auditorium,"St. Paul, MN",1
Auditorium,"West Palm Beach, FL",1
"Auditorium Coliseum","Jacksonville, FL",1
"Auditorium Theater","Chicago, IL",2
"Auditorium Theatre","Chicago, IL",3
"Auditorium Theatre","Chicago, ILL",1
"Augusta Civic Center","Augusta, ME",2
"Autzen Stadium","Eugene, OR",8
"Autzen Stadium (U of Oregon)","Eugene, OR",2
Avalon,"San Francisco, CA",1
"Avalon Ballrom","San Francisco, CA",2
"Bakersfield Civic Auditorium","Bakersfield, CA",1
"Baltimore Civic Center","Baltimore, MD",3
"Barton Hall (Cornell U)","Ithica, NY",3
"Bayfront Center","St. Petersburg, FL",2
"Beacon Theatre","New York, NY",2
"Beat Club","Bremen, DE",1
"Berkeley Community Theater","Berkeley, CA",16
"Berkeley Community Theatre","Berkeley, CA",4
"Berkeley Greek Theatre","Berkeley, CA",3
"Bickershaw Festival","Wigan, UK",1
"Blockbuster Desert Sky Pavillion","Phoenix, AZ",3
"Blossom Music Center","Cuyahoga Falls, OH",2
"Bob Marley Performing Arts Center","Montego Bay, XJ",1
"Boise Pavillion","Boise, ID",1
"Boreal Ridge Ski Resort",Donner,1
"Boston Garden","Boston, MA",24
"Boston Music Hail","Boston, MA",2
"Boston Music Hall","Boston, MA",6
"Boston Music Hall","Boston, MA.",3
"Boston Music Mall","Boston, MA",3
"Boston Tea Party","Boston, MA",1
"Boutwell Auditorium","Birmingham, AL",2
